Institution_Name,State,Policy_2026,Policy_Details,Is_policy_temporary,Link_to_policy,Pct_enroll_no_scores,Control_of_institution
Carson-Newman University,TN,Test Optional,3,Unannounced,https://www.cn.edu/news?view=1458,10%,Private not-for-profit
Carthage College,WI,Test Optional,,No,,40%,Private not-for-profit
Cascadia College,WA,Test Optional,,Unannounced,,,Public
Case Western Reserve University,OH,Test Optional,,Yes,https://case.edu/admission/apply/test-optional,36%,Private not-for-profit
Castleton University,VT,Test Optional,,Unannounced,https://www.castleton.edu/admissions/application-checklist-deadlines/,74%,Public
Catawba College,NC,Test Optional,,No,,74%,Private not-for-profit
CBD College,CA,Test Optional,6,Unannounced,https://www.cbd.edu/admissions-enrollments/,,Private not-for-profit
Cedar Crest College,PA,Test Optional,,Yes,https://www.cedarcrest.edu/admissions-and-aid/undergraduate-admissions/how-to-apply/,83%,Private not-for-profit
Cedarville University,OH,Test Optional,,Unannounced,https://www.cedarville.edu/admissions/undergraduate/admission-requirements,14%,Private not-for-profit
CEM College-Bayamon,PR,Test Optional,,Unannounced,https://cemcollege.edu/cem/servicios/admisiones/,,Private for-profit
CEM College-Humacao,PR,Test Optional,,Unannounced,https://cemcollege.edu/cem/servicios/admisiones/,,Private for-profit
CEM College-Mayaguez,PR,Test Optional,,Unannounced,https://cemcollege.edu/cem/servicios/admisiones/,,Private for-profit
CEM College-San Juan,PR,Test Optional,,Unannounced,https://cemcollege.edu/cem/servicios/admisiones/,,Private for-profit
Centenary College of Louisiana,LA,Test Optional,,Unannounced,https://www.centenary.edu/admission/how-to-apply/,15%,Private not-for-profit
Centenary University,NJ,Test Optional,,Unannounced,https://www.centenaryuniversity.edu/admission-aid/freshmen/,100%,Private not-for-profit
Central Christian College of Kansas,KS,Test Optional,,Unannounced,,,Private not-for-profit
Central College,IA,Test Optional,,Unannounced,"https://www.central.edu/admission/admission-requirements/#:~:text=Due%20to%20the%20COVID%2D19,testing%20facilities%20being%20closed%20nationwide.",27%,Private not-for-profit
Central Connecticut State University,CT,Test Optional,,No,https://www.ccsu.edu/first-year-admissions/admissions-requirements,46%,Public
Central Methodist University-College of Graduate and Extended Studies,MO,Test Optional,3,No,https://www.centralmethodist.edu/admissions/admission-requirements.html,100%,Private not-for-profit
Central Methodist University-College of Liberal Arts and Sciences,MO,Test Optional,3,No,https://www.centralmethodist.edu/admissions/admission-requirements.html,17%,Private not-for-profit
Central Michigan University,MI,Test Optional,,Yes,https://www.cmich.edu/undergraduate/apply#testscores,43%,Public
Central Ohio Technical College,OH,Test Optional,,Unannounced,https://www.cotc.edu/apply-0,,Public
Central Penn College,PA,Test Optional,4,Unannounced,,100%,Private for-profit
Central State University,OH,Test Optional,3,Unannounced,,100%,Public
Central Washington University,WA,Test Optional,3,Unannounced,https://www.cwu.edu/admissions-aid/apply/undergraduate-admissions.php#accordion-82af5d9a-5526-498f-b08e-b2fef1ae3e92-0,,Public
Central Wyoming College,WY,Test Optional,6,Unannounced,https://www.cwc.edu/apply/,,Public
Central Yeshiva Tomchei Tmimim Lubavitz,NY,Test Optional,,Unannounced,,,Private not-for-profit
Centralia College,WA,Test Optional,,Unannounced,,,Public
Centre College,KY,Test Optional,,No,https://www.centre.edu/news/centre-test-optional-policy-college-admission,38%,Private not-for-profit
Centura College-Chesapeake,VA,Test Optional,,Unannounced,https://www.centuracollege.edu/admissions/#,,Private for-profit
Centura College-Virginia Beach,VA,Test Optional,,Unannounced,https://www.centuracollege.edu/admissions/#,,Private for-profit
Century College,MN,Test Optional,,Unannounced,,,
Chadron State College,NE,Test Optional,1,Unannounced,,,Public
Chamberlain University-Arizona,AZ,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-California,CA,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,,Private for-profit
Chamberlain University-Florida,FL,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Georgia,GA,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Illinois,IL,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Indiana,IN,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Louisiana,LA,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Michigan,MI,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Missouri,MO,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Nevada,NV,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-New Jersey,NJ,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-North Carolina,NC,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Ohio,OH,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Texas,TX,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chamberlain University-Virginia,VA,Test Optional,6,Unannounced,https://www.chamberlain.edu/blog/the-hesi-exam-what-chamberlain-university-wants-you-to-know,100%,Private for-profit
Chaminade University of Honolulu,HI,Test Optional,,Unannounced,https://chaminade.edu/admissions/first-year-students/admission-requirements-deadlines/,100%,Private not-for-profit
Champlain College,VT,Test Optional,,No,,74%,Private not-for-profit
Chapman University,CA,Test Optional,,Unannounced,https://www.chapman.edu/admission/undergraduate/how-to-apply/test-optional.aspx,63%,Private not-for-profit
Charles R Drew University of Medicine and Science,CA,Test Optional,,Unannounced,,,Private not-for-profit
Charleston Southern University,SC,Test Optional,3,Unannounced,https://www.postandcourier.com/berkeley-independent/news/csu-announces-test-flexible-application-policy-for-spring-and-fall-2021-admissions/article_d046b080-db63-11ea-93ab-43ac77533f93.html,9%,Private not-for-profit
Charlotte Christian College and Theological Seminary,NC,Test Optional,,Unannounced,,,Private not-for-profit
Charter College,WA,Test Optional,,Unannounced,,,Private for-profit
Charter Oak State College,CT,Test Optional,,Unannounced,,,
Chatham University,PA,Test Optional,,No,,53%,Private not-for-profit
Chestnut Hill College,PA,Test Optional,,Unannounced,,,Private not-for-profit
Chicago State University,IL,Test Optional,,Unannounced,,,Public
Chipola College,FL,Test Optional,,Unannounced,,,Public
Chowan University,NC,Test Optional,,Yes,,84%,Private not-for-profit
Christian Brothers University,TN,Test Optional,4,Unannounced,https://www.cbu.edu/admissions-aid/application-resources/application-checklist/,42%,Private not-for-profit
Christian Life College,IL,Test Optional,1,Unannounced,,,
Christopher Newport University,VA,Test Optional,3,No,,53%,Public
Cincinnati State Technical and Community College,OH,Test Optional,,Unannounced,https://www.cincinnatistate.edu/counselors/,,Public
Citadel Military College of South Carolina,SC,Test Optional,,No,https://www.citadel.edu/corps/requirements/requirements-for-freshmen/,59%,Public
City College-Gainesville,FL,Test Optional,,Unannounced,https://www.citycollege.edu/admissions/application-checklist/,,Private not-for-profit
City College-Miami,FL,Test Optional,,Unannounced,https://www.citycollege.edu/admissions/application-checklist/,,Private not-for-profit
City University of Seattle,WA,Test Optional,,Unannounced,,,
City Vision University,--,Test Optional,,Unannounced,,,
Claflin University,SC,Test Optional,3,Unannounced,https://www.claflin.edu/admissions-aid/frequently-asked-questions-(faq's),,Private not-for-profit
Claremont McKenna College,CA,Test Optional,,Yes,https://www.cmc.edu/admission/first-year-application-instructions#collapse-792,55%,Private not-for-profit
Clarion University of Pennsylvania,PA,Test Optional,"3,4",Unannounced,https://www.clarion.edu/admissions/undergraduate/admissions-requirements/index.html,,Public
Clark Atlanta University,GA,Test Optional,,Yes,https://www.cau.edu/undergraduate-admissions/,87%,Private not-for-profit
Clark College,WA,Test Optional,,Unannounced,,,Public
Clark State College,OH,Test Optional,6,Unannounced,https://www.clarkstate.edu/admissions/general-admissions/entrance-exams/,,Public
Clark University,MA,Test Optional,,No,,74%,Private not-for-profit
Clarke University,IA,Test Optional,,No,https://www.clarke.edu/admission-aid/first-year-freshmen-admission-requirements/,79%,Private not-for-profit
Clarkson College,NE,Test Optional,,Unannounced,,,Private not-for-profit
Clarkson University,NY,Test Optional,,No,https://www.clarkson.edu/apply-now,30%,Private not-for-profit
Clayton  State University,GA,Test Optional,3,Yes,https://www.clayton.edu/admissions/undergrad/freshman,30%,Public
Clear Creek Baptist Bible College,KY,Test Optional,,Unannounced,,,Private not-for-profit
Cleary University,MI,Test Optional,3,Unannounced,,100%,Private not-for-profit
Clemson University,SC,Test Optional,,No,https://www.clemson.edu/admissions/applying-to-clemson/freshman-students.html,30%,Public
Cleveland Institute of Art,OH,Test Optional,,Unannounced,Application Requirements - Cleveland Institute of Art (cia.edu),58%,Private not-for-profit
Cleveland Institute of Music,OH,Test Optional,4,Unannounced,,100%,Private not-for-profit
Cleveland State University,OH,Test Optional,,Yes,https://go.csuohio.edu/portal/apply,39%,Public
Cleveland University-Kansas City,KS,Test Optional,,Unannounced,https://www.cleveland.edu/admissions/admission-requirements/,,Private not-for-profit
Clinton College,SC,Test Optional,,No,https://www.clintoncollege.edu/future-students/admissions,,Private not-for-profit
Coastal Carolina University,SC,Test Optional,3,Unannounced,https://www.coastal.edu/admissions/testopt/,54%,Public
Coe College,IA,Test Optional,3,Unannounced,https://apply.coe.edu/portal/test-optional-policy,,Private not-for-profit
Coker University,SC,Test Optional,,Unannounced,,,Private not-for-profit
Colby College,ME,Test Optional,,No,,35%,Private not-for-profit
Colby-Sawyer College,NH,Test Optional,,Unannounced,,,Private not-for-profit
Colgate University,NY,Test Optional,,Yes,https://www.colgate.edu/news/stories/colgate-remain-test-optional-through-2026,46%,Private not-for-profit
College for Creative Studies,MI,Test Optional,,No,,,Private not-for-profit
College of Biblical Studies,TX,Test Optional,,Unannounced,,,
College of Biblical Studies-Houston,TX,Test Optional,6,Unannounced,https://issuu.com/cbshouston/docs/academic_catalog_2022_-_2025_edit_ver_1.2_final_1,,Private not-for-profit
College of Central Florida,FL,Test Optional,6,Unannounced,,,Public
College of Charleston,SC,Test Optional,,Yes,https://admissions.cofc.edu/applyingtothecollege/test-optional-faqs/,62%,Public
College of Coastal Georgia,GA,Test Optional,,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,78%,Public
College of Menominee Nation,WI,Test Optional,,Unannounced,,,Private not-for-profit
College of Micronesia-FSM,FM,Test Optional,6,Unannounced,http://www.comfsm.fm/national/admissions.html#procedures,,Public
College of Our Lady of the Elms,MA,Test Optional,4,No,,93%,Private not-for-profit
College of Saint Benedict,MN,Test Optional,,No,https://www.csbsju.edu/admission/apply/actsat,48%,Private not-for-profit
College of Saint Mary,NE,Test Optional,,Unannounced,https://www.csm.edu/admissions/high-school-students,13%,Private not-for-profit
College of Southern Idaho,ID,Test Optional,1,Unannounced,,,Public
College of Southern Nevada,NV,Test Optional,,Unannounced,,,Public
College of the Atlantic,ME,Test Optional,,No,,,Private not-for-profit
College of the Holy Cross,MA,Test Optional,,No,,46%,Private not-for-profit
College of the Marshall Islands,MH,Test Optional,,Unannounced,https://cmi.edu/academic-catalog/admissions/first-year-applicants/,,Public
College Unbound,RI,Test Optional,,Unannounced,https://www.collegeunbound.edu/apps/pages/admissionspolicy,,Private not-for-profit
Collin County Community College District,TX,Test Optional,,Unannounced,https://www.collin.edu/gettingstarted/register/requirements.html,,Public
Colorado Christian University,CO,Test Optional,,Yes,https://www.ccu.edu/undergrad/admissions,,Private not-for-profit
Colorado College,CO,Test Optional,,No,,38%,Private not-for-profit
Colorado Mesa University,CO,Test Optional,,Unannounced,https://www.coloradomesa.edu/admissions/requirements/first-time-students.html,41%,Public
Colorado Mountain College,CO,Test Optional,6,Unannounced,,,Public
Colorado School of Mines,CO,Test Optional,,Unannounced,https://www.mines.edu/undergraduate-admissions/first-year/,31%,Public
Colorado State University Pueblo,CO,Test Optional,,Unannounced,https://highered.colorado.gov/college-admission-use-of-national-test-scores,46%,Public
