UNITID,INSTNM,CITY,STABBR,ZIP,HIGHDEG,ST_FIPS,LATITUDE,LONGITUDE,LOCALE,ADM_RATE,SAT_AVG,C150_4,UGDS_MEN,UGDS_WOMEN,Avg_Net_Price,COSTT4_A,SAT_z
215947,Seton Hill University,Greensburg,PA,15601,4,42,40.309407,-79.557433,21,0.7579,1186,0.7099,0.358,0.642,22558,54634,0.10560493487411064
216010,Shippensburg University of Pennsylvania,Shippensburg,PA,17257-2299,4,42,40.057933,-77.522335,31,0.8555,1090,0.5161,0.4894,0.5106,23553,29480,-0.5646616317353096
216038,Slippery Rock University of Pennsylvania,Slippery Rock,PA,16057-1383,4,42,41.062719,-80.045965,32,0.7462,1086,0.6591,0.4498,0.5502,19524,24781,-0.5925894053440355
216278,Susquehanna University,Selinsgrove,PA,17870-1025,4,42,40.797502,-76.875329,32,0.7871,1211,0.7409,0.4344,0.5656,26539,72563,0.2801535199286472
216287,Swarthmore College,Swarthmore,PA,19081,3,42,39.905159,-75.354278,21,0.0694,1527,0.9413,0.4856,0.5144,18686,80014,2.486447635017989
216366,Thomas Jefferson University,Philadelphia,PA,19107,4,42,39.948274,-75.158266,11,0.8614,1259,0.6819,0.2619,0.7381,28163,62110,0.6152868032333573
216524,Ursinus College,Collegeville,PA,19426-1000,3,42,40.193023,-75.456505,21,0.8737,1304,0.7662,0.5206,0.4794,30485,75378,0.929474256331523
216597,Villanova University,Villanova,PA,19085-1699,4,42,40.036463,-75.340502,21,0.2512,1466,0.9241,0.4612,0.5388,44876,80866,2.0605490874849197
216694,Waynesburg University,Waynesburg,PA,15370-1257,4,42,39.899871,-80.186205,32,0.9169,1114,0.605,0.4662,0.5338,25157,42526,-0.39709499008295457
216764,West Chester University of Pennsylvania,West Chester,PA,19383,4,42,39.953398,-75.59812,21,0.792,1184,0.698,0.4088,0.5912,22673,27559,0.09164104806974772
216852,Widener University,Chester,PA,19013-5792,4,42,39.861689,-75.355363,21,0.8402,1170,0.6351,0.3978,0.6022,30470,68305,-0.006106159560792735
216931,Wilkes University,Wilkes-Barre,PA,18766,4,42,41.244199,-75.890262,13,0.9146,1134,0.6034,0.4728,0.5272,27700,56956,-0.25745612203932533
217013,Wilson College,Chambersburg,PA,17201-1285,4,42,39.949659,-77.650712,13,0.8998,1020,0.5183,0.1933,0.8067,21241,38932,-1.0533976698880119
217059,York College of Pennsylvania,York,PA,17403-3651,4,42,39.94614,-76.727984,22,0.942,1135,0.5974,0.4393,0.5607,19685,35806,-0.2504741786371439
217633,Anderson University,Anderson,SC,29621-4035,4,45,34.5152,-82.640358,13,0.5281,1190,0.7099,0.3679,0.6321,28183,47724,0.1335327084828365
217688,Charleston Southern University,Charleston,SC,29406-9121,4,45,32.983047,-80.072587,12,0.7609,1056,0.4858,0.3748,0.6252,21955,43989,-0.8020477074094793
217721,Benedict College,Columbia,SC,29204-1086,4,45,34.012941,-81.020403,12,0.673,910,0.2115,0.4749,0.5251,17781,29921,-1.8214114441279727
